alamat,harga,kamar_tidur,bangunan,lahan,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,air_panas,telepon,tv,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak,latitude,longitude
Kraton,2700000000,4,250,420,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Kotagede,1700000000,3,105,223,1,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Kotagede,1300000000,5,172,118,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Umbulharjo,3400000000,6,417,270,5,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,-7.8143777,110.3873737
Yogyakarta,15000000000,6,450,636,7,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,-7.8011945,110.364917
Jetis,1200000000,5,160,87,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Gondokusuman,3800000000,4,220,298,4,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.78674395,110.3809996
Ngampilan,750000000,3,90,93,1,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,-7.80218335,110.3576025
Yogyakarta,495000000,2,45,94,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,-7.8011945,110.364917
Umbulharjo,10500000000,8,718,1140,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Jetis,1700000000,5,149,149,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Jetis,650000000,2,125,138,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Yogyakarta,400000000,2,40,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Mergangsan,13500000000,14,1000,2455,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-7.8147344,110.372558
Yogyakarta,2700000000,6,339,339,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,4500000000,4,235,354,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Gondokusuman,3500000000,8,300,165,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Kotagede,690000000,3,60,79,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Kotagede,690000000,3,60,60,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Umbulharjo,4500000000,10,264,792,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Tegalrejo,3000000000,4,170,213,4,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,-7.78045495,110.355073
Tegalrejo,2600000000,5,150,150,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Umbulharjo,1500000000,5,180,90,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,3950000000,6,196,393,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Wirobrajan,4799000000,13,400,681,5,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,-7.8026238,110.3504467
Wirobrajan,2032000000,4,150,120,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,-7.8026238,110.3504467
Yogyakarta,900000000,3,55,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,2500000000,3,90,313,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Umbulharjo,4400000000,7,553,528,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Tegalrejo,2600000000,5,150,150,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Umbulharjo,2500000000,3,150,136,4,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,850000000,3,84,145,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,1700000000,3,100,224,1,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Kraton,3000000000,5,200,337,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8087986,110.3627263
Umbulharjo,1700000000,4,159,159,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,-7.8143777,110.3873737
Mergangsan,29500000000,4,348,2540,3,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,-7.8147344,110.372558
Kraton,489600000,3,100,153,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Kraton,1100000000,3,75,140,2,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Kotagede,690000000,3,60,76,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Umbulharjo,690000000,3,60,78,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.8143777,110.3873737
Kotagede,698000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,790000000,3,70,79,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Yogyakarta,1550000000,3,120,117,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Gondokusuman,850000000,3,158,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Yogyakarta,1900000000,3,145,175,3,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Kraton,3500000000,8,280,339,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Kraton,4300000000,5,302,353,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Kraton,2350000000,4,202,396,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Kotagede,1800000000,4,213,165,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Mergangsan,2000000000,8,300,210,4,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Mergangsan,8000000000,7,350,649,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,-7.8147344,110.372558
Mergangsan,2450000000,4,202,187,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Kotagede,2600000000,12,500,665,12,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Mantrijeron,797000000,3,55,148,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,-7.81806785,110.3597226
Jetis,1357000000,4,80,101,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Yogyakarta,2000000000,3,160,209,1,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,1768510000,3,119,102,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,-7.8011945,110.364917
Umbulharjo,1611000000,2,74,60,2,N,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,-7.8143777,110.3873737
Kraton,4500000000,5,250,350,5,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.8087986,110.3627263
Yogyakarta,370000000,2,36,95,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,300000000,2,36,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Gondokusuman,14000000000,12,460,706,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,1500000000,5,253,137,4,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Kotagede,950000000,4,192,111,2,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Kotagede,1650000000,4,150,225,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Tegalrejo,1850000000,4,245,187,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Mantrijeron,675000000,2,60,100,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,-7.81806785,110.3597226
Kotagede,387000000,2,45,70,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,-7.81831055,110.3979409
Tegalrejo,2350000000,3,160,196,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Mergangsan,2300000000,1,220,393,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Mantrijeron,1300000000,3,108,81,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Mantrijeron,1650000000,3,110,105,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,-7.81806785,110.3597226
Yogyakarta,1500000000,11,300,228,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,1885000000,3,95,120,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,1658000000,3,85,105,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Tegalrejo,1450000000,3,110,166,3,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,-7.78045495,110.355073
Kraton,1200000000,3,78,115,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,-7.8087986,110.3627263
Kraton,6500000000,7,500,1548,7,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.8087986,110.3627263
Umbulharjo,3300000000,6,417,270,5,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,-7.8143777,110.3873737
Mantrijeron,3000000000,5,250,130,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,-7.81806785,110.3597226
Kotagede,900000000,3,95,158,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Umbulharjo,6500000000,4,550,500,4,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,1000000000,3,144,148,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,1800000000,1,158,160,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Wirobrajan,850000000,3,85,80,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Mantrijeron,900000000,3,90,114,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Yogyakarta,2950000000,5,220,189,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,12500000000,11,1000,838,11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Kotagede,675000000,2,45,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Tegalrejo,2500000000,3,140,280,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Gedong Tengen,1800000000,2,62,86,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,-7.7892366,110.3589977
Kotagede,690000000,3,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Mergangsan,1920000000,4,130,129,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,-7.8147344,110.372558
Yogyakarta,507400000,3,75,79,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Yogyakarta,657750000,3,54,120,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Kotagede,655000000,2,40,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Yogyakarta,715000000,3,54,137,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Yogyakarta,705000000,3,54,143,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Gedong Tengen,585800000,2,40,79,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.7892366,110.3589977
Yogyakarta,750000000,3,90,115,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Kotagede,1400000000,3,130,160,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Umbulharjo,4500000000,15,500,669,15,N,N,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,-7.8143777,110.3873737
Yogyakarta,700000000,2,60,139,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,1425100000,4,95,141,3,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Yogyakarta,1325100000,4,95,142,3,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Gondokusuman,4300000000,5,161,782,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Kotagede,450000000,12,120,111,12,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Kotagede,450000000,8,120,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Yogyakarta,450000000,2,42,93,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,-7.8011945,110.364917
Mergangsan,502000000,3,55,70,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,N,-7.8147344,110.372558
Umbulharjo,4400000000,7,523,527,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Wirobrajan,1900000000,5,210,250,1,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Wirobrajan,2750000000,5,168,230,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Umbulharjo,3900000000,10,540,418,8,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-7.8143777,110.3873737
Wirobrajan,3000000000,7,273,265,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Wirobrajan,3000000000,7,276,265,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Tegalrejo,10000000000,23,692,745,23,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Tegalrejo,1200000000,4,133,145,2,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Umbulharjo,4400000000,7,550,525,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,2000000000,3,227,213,2,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,3000000000,6,253,208,7,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Wirobrajan,540000000,5,90,72,2,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,-7.8026238,110.3504467
Kotagede,900000000,3,120,150,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,-7.81831055,110.3979409
Gondokusuman,1700000000,3,100,210,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Mantrijeron,1750000000,3,123,108,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Gondokusuman,7000000000,9,500,400,6,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,-7.78674395,110.3809996
Umbulharjo,34000000000,6,500,2270,3,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,-7.8143777,110.3873737
Tegalrejo,2650000000,6,200,388,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.78045495,110.355073
Gondokusuman,2850000000,5,350,445,5,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.78674395,110.3809996
Danurejan,9500000000,7,700,500,8,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,-7.7928424,110.3717946
Gondokusuman,14000000000,2,200,477,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Umbulharjo,4500000000,6,800,525,4,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,-7.8143777,110.3873737
Umbulharjo,3500000000,13,540,418,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,1501500000,3,74,60,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Umbulharjo,545000000,3,60,126,2,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8143777,110.3873737
Gondokusuman,2500000000,4,150,123,2,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,-7.78674395,110.3809996
Wirobrajan,1499000000,3,100,148,2,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,-7.8026238,110.3504467
Umbulharjo,1611000000,3,130,101,2,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,-7.8143777,110.3873737
Kotagede,350000000,2,40,75,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Mergangsan,5500000000,12,300,525,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Mergangsan,1390000000,4,186,251,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Gedong Tengen,930000000,3,55,113,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.7892366,110.3589977
Umbulharjo,1611534789,2,60,74,2,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,-7.8143777,110.3873737
Mergangsan,850000000,3,90,95,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,-7.8147344,110.372558
Yogyakarta,1750000000,2,680,680,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Mantrijeron,1500000000,5,210,112,2,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,-7.81806785,110.3597226
Mantrijeron,9250100000,8,250,750,9,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,-7.81806785,110.3597226
Yogyakarta,37000000000,28,480,2581,13,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.8011945,110.364917
Kotagede,798000000,3,50,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Yogyakarta,12700000000,6,203,842,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,4300000000,4,182,297,4,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Tegalrejo,2900000000,5,220,208,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Yogyakarta,1750000000,4,260,151,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Kotagede,790000000,3,50,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Kotagede,690000000,3,60,80,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Kotagede,865000000,3,70,85,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Kotagede,690000020,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,798000000,3,50,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,690000000,3,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Wirobrajan,1597000000,4,110,120,3,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,Y,-7.8026238,110.3504467
Yogyakarta,15000000000,6,684,684,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Tegalrejo,2900000000,6,300,144,6,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,-7.78045495,110.355073
Mergangsan,1250000000,3,110,100,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,-7.8147344,110.372558
Pakualaman,3800000000,5,180,280,4,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.80043375,110.3762266
Tegalrejo,1000000000,4,157,130,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Gondokusuman,1319000000,3,100,108,3,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,-7.78674395,110.3809996
Umbulharjo,875000000,3,64,90,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,-7.8143777,110.3873737
Kotagede,2150000000,3,160,229,3,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,-7.81831055,110.3979409
Umbulharjo,745000000,4,90,113,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,-7.8143777,110.3873737
