alamat,harga,kamar_tidur,bangunan,lahan,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,air_panas,telepon,tv,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak
Umbulharjo,1700000000,4,159,159,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N
Mergangsan,29500000000,4,348,2540,3,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N
Kraton,489600000,3,100,153,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,1100000000,3,75,140,2,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,690000000,3,60,76,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Umbulharjo,690000000,3,60,78,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Kotagede,698000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,790000000,3,70,79,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Yogyakarta,1550000000,3,120,117,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,850000000,3,158,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1900000000,3,145,175,3,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kraton,3500000000,8,280,339,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,4300000000,5,302,353,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,2350000000,4,202,396,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,1800000000,4,213,165,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,2000000000,8,300,210,4,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,8000000000,7,350,649,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N
Mergangsan,2450000000,4,202,187,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,2600000000,12,500,665,12,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,797000000,3,55,148,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N
Jetis,1357000000,4,80,101,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,2000000000,3,160,209,1,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1768510000,3,119,102,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Umbulharjo,1611000000,2,74,60,2,N,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N
Kraton,4500000000,5,250,350,5,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Yogyakarta,370000000,2,36,95,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,300000000,2,36,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,14000000000,12,460,706,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,1500000000,5,253,137,4,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,950000000,4,192,111,2,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,1650000000,4,150,225,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Tegalrejo,1850000000,4,245,187,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,675000000,2,60,100,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N
Kotagede,387000000,2,45,70,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N
Tegalrejo,2350000000,3,160,196,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,2300000000,1,220,393,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,1300000000,3,108,81,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,1650000000,3,110,105,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N
Yogyakarta,1500000000,11,300,228,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1885000000,3,95,120,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1658000000,3,85,105,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,1450000000,3,110,166,3,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y
Kraton,1200000000,3,78,115,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N
Kraton,6500000000,7,500,1548,7,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N
Umbulharjo,3300000000,6,417,270,5,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N
Mantrijeron,3000000000,5,250,130,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N
Kotagede,900000000,3,95,158,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,6500000000,4,550,500,4,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N
Umbulharjo,1000000000,3,144,148,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1800000000,1,158,160,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,850000000,3,85,80,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,900000000,3,90,114,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N
Yogyakarta,2950000000,5,220,189,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,12500000000,11,1000,838,11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,675000000,2,45,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Tegalrejo,2500000000,3,140,280,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gedong Tengen,1800000000,2,62,86,1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N
Kotagede,690000000,3,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Mergangsan,1920000000,4,130,129,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
Yogyakarta,507400000,3,75,79,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,657750000,3,54,120,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,655000000,2,40,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,715000000,3,54,137,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,705000000,3,54,143,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Gedong Tengen,585800000,2,40,79,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,750000000,3,90,115,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,1400000000,3,130,160,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Umbulharjo,4500000000,15,500,669,15,N,N,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Yogyakarta,700000000,2,60,139,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1425100000,4,95,141,3,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N
Yogyakarta,1325100000,4,95,142,3,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N
Gondokusuman,4300000000,5,161,782,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,450000000,12,120,111,12,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Kotagede,450000000,8,120,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Yogyakarta,450000000,2,42,93,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N
Mergangsan,502000000,3,55,70,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,N
Umbulharjo,4400000000,7,523,527,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,1900000000,5,210,250,1,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,2750000000,5,168,230,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,3900000000,10,540,418,8,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Wirobrajan,3000000000,7,273,265,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,3000000000,7,276,265,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,10000000000,23,692,745,23,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,1200000000,4,133,145,2,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,4400000000,7,550,525,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2000000000,3,227,213,2,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,3000000000,6,253,208,7,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,540000000,5,90,72,2,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
Kotagede,900000000,3,120,150,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N
Gondokusuman,1700000000,3,100,210,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,1750000000,3,123,108,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,7000000000,9,500,400,6,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N
Umbulharjo,34000000000,6,500,2270,3,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N
Tegalrejo,2650000000,6,200,388,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Gondokusuman,2850000000,5,350,445,5,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Danurejan,9500000000,7,700,500,8,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N
Gondokusuman,14000000000,2,200,477,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,4500000000,6,800,525,4,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y
Umbulharjo,3500000000,13,540,418,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1501500000,3,74,60,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,545000000,3,60,126,2,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Gondokusuman,2500000000,4,150,123,2,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,N
Wirobrajan,1499000000,3,100,148,2,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N
Umbulharjo,1611000000,3,130,101,2,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y
Kotagede,350000000,2,40,75,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N
Mergangsan,5500000000,12,300,525,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,1390000000,4,186,251,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gedong Tengen,930000000,3,55,113,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1611534789,2,60,74,2,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Mergangsan,850000000,3,90,95,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N
Yogyakarta,1750000000,2,680,680,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,1500000000,5,210,112,2,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N
Mantrijeron,9250100000,8,250,750,9,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N
Yogyakarta,37000000000,28,480,2581,13,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Kotagede,798000000,3,50,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,12700000000,6,203,842,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,4300000000,4,182,297,4,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,2900000000,5,220,208,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1750000000,4,260,151,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,790000000,3,50,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,690000000,3,60,80,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Kotagede,865000000,3,70,85,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Kotagede,690000020,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,798000000,3,50,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,3,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Wirobrajan,1597000000,4,110,120,3,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,Y
Yogyakarta,15000000000,6,684,684,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,2900000000,6,300,144,6,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y
Mergangsan,1250000000,3,110,100,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N
Pakualaman,3800000000,5,180,280,4,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Tegalrejo,1000000000,4,157,130,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,1319000000,3,100,108,3,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y
Umbulharjo,875000000,3,64,90,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N
Kotagede,2150000000,3,160,229,3,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y
Umbulharjo,745000000,4,90,113,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N
Yogyakarta,3250000000,3,350,326,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2100000000,6,200,200,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N
Gondokusuman,20000000000,18,645,895,8,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Yogyakarta,2500000000,3,200,189,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1900000000,5,225,175,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1750000000,5,216,172,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,4500000000,6,250,200,6,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Mantrijeron,2700000000,3,200,150,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,790000000,3,50,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,2091525000,4,110,196,3,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N
Yogyakarta,575400000,2,39,80,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,350000000,2,36,72,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y
Yogyakarta,411000000,2,36,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
Danurejan,12000000000,7,700,500,8,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N
Yogyakarta,1450000000,3,110,97,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
Yogyakarta,500000000,2,45,91,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Yogyakarta,340000000,2,36,60,1,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y
Wirobrajan,594600000,2,40,112,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,950000000,3,80,104,2,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N
Wirobrajan,750000000,2,91,91,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Jetis,3500000000,4,240,206,3,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Tegalrejo,118921000,2,40,79,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,2700000000,3,200,265,2,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N
Mantrijeron,590000000,2,55,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1300000000,4,110,103,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,2500000000,18,350,285,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,425000000,2,36,84,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y
Yogyakarta,1500000000,4,120,225,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1350000000,4,140,111,3,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y
Umbulharjo,792000000,3,150,161,2,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
Umbulharjo,8000000000,7,488,690,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,4099999999,5,900,677,5,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Yogyakarta,2500000000,7,289,329,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2100000000,3,130,113,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,800000000,2,100,105,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1700000000,10,194,160,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,3,60,79,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Yogyakarta,2200000000,3,200,210,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1299999999,5,200,251,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,3000000000,7,263,325,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1750000000,4,216,172,3,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y
Kotagede,698000000,2,40,110,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Yogyakarta,2500000000,4,165,143,4,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N
Wirobrajan,9300000000,5,503,527,4,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,1290000000,4,99,107,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,2350000000,4,199,395,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,4650000000,5,219,184,4,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,7900000000,7,270,599,4,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,Y
Kotagede,450000000,3,40,108,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1618500000,4,95,143,3,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N
Yogyakarta,1850000000,4,132,190,3,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N
Kotagede,1100000000,3,70,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,507400000,2,40,80,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,303000000,2,30,94,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
Yogyakarta,2840500000,10,186,212,10,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N
Yogyakarta,605000000,2,60,110,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,712250000,3,54,153,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,1970000000,4,150,120,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y
Umbulharjo,3000000000,6,300,440,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1250000000,5,240,140,4,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N
Umbulharjo,3000000000,6,300,440,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,2000000000,22,326,370,6,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N
Kraton,2350000000,4,200,393,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,6500000000,4,200,386,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,4000000000,10,500,418,8,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Tegalrejo,1450000000,3,110,166,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
